0.000 - 7F E0 FF C6 00 00 00 DE  - 0.010 - 00 00 FF C6 00 00 01 91  - 0.020 - 00 00 FF C6 00 00 02 9B  - 0.029 - 00 00 FF C6 00 00 03 1E  - 0.041 - 00 00 C1 86 00 00 00 E8  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.049 - 00 00 C1 86 00 00 01 6D  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.060 - 00 00 C1 86 00 00 02 67  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.070 - 00 00 C1 86 00 00 03 E2  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.079 - 00 00 C1 86 00 00 00 E8  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.089 - 00 00 C1 86 00 00 01 6D  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.099 - 00 00 C1 A6 00 00 02 28  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.110 - 00 00 C1 A6 00 00 03 AD  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.119 - 00 00 C1 A6 00 00 00 A7  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.129 - 00 00 C1 A6 00 00 01 22  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.139 - 00 00 C1 A6 00 00 02 28  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.150 - 00 00 C1 A6 00 00 03 AD  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.159 - 00 00 C1 A6 00 00 00 A7  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.169 - 00 00 C1 A6 00 00 01 22  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.180 - 00 00 C1 A6 00 00 02 28  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.190 - 00 00 C1 A6 00 00 03 AD  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.200 - 00 00 C1 A6 00 00 00 A7  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.209 - 00 00 C1 A6 00 00 01 22  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.219 - 00 00 C1 A6 00 00 02 28  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.230 - 00 00 C1 A6 00 00 03 AD  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.239 - 00 00 C1 A6 00 00 00 A7  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.250 - 00 00 C1 A6 00 00 01 22  - Voltage: 387.00V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.259 - 00 00 C1 EE 00 00 02 06  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.270 - 00 00 C1 EE 00 00 03 83  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.279 - 00 00 C1 EE 00 00 00 89  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.290 - 00 00 C1 EE 00 00 01 0C  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.299 - 00 00 C1 EE 00 00 02 06  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.309 - 00 00 C1 EE 00 00 03 83  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.319 - 00 00 C1 EE 00 00 00 89  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.330 - 00 00 C1 EE 00 00 01 0C  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.339 - 00 00 C1 EE 00 00 02 06  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.349 - 00 00 C1 EE 00 00 03 83  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.359 - 00 20 C1 EE 00 00 00 D8  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.369 - 00 20 C1 EE 00 00 01 5D  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.379 - 00 20 C1 EE 00 00 02 57  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.389 - 00 20 C1 EE 00 00 03 D2  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.399 - 00 20 C1 EE 00 00 00 D8  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.409 - 00 20 C1 EE 00 00 01 5D  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.419 - 00 20 C1 EE 00 00 02 57  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.429 - 00 20 C1 EE 00 00 03 D2  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.440 - 00 20 C1 EE 00 00 00 D8  - Voltage: 387.50V, Current: 0.50A, Energy Spent: 0.0005381944Wh
0.450 - 00 00 C1 EE 00 00 01 0C  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.460 - 00 00 C1 EE 00 00 02 06  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.469 - 00 00 C1 EE 00 00 03 83  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.479 - 00 00 C1 EE 00 00 00 89  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.490 - 00 00 C1 EE 00 00 01 0C  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.499 - 00 00 C1 EE 00 00 02 06  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.509 - 00 00 C1 EE 00 00 03 83  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.519 - 00 00 C1 EE 00 00 00 89  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.529 - 00 00 C1 EE 00 00 01 0C  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.539 - 00 00 C1 EE 00 00 02 06  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.549 - 00 00 C1 EE 00 00 03 83  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.560 - 00 00 C1 EE 00 00 00 89  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.569 - 00 00 C1 EE 00 00 01 0C  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.580 - 00 00 C1 EE 00 00 02 06  - Voltage: 387.50V, Current: 0.00A, Energy Spent: 0.0000000000Wh
0.590 - FF E0 C1 EE 00 00 03 C3  - Voltage: 387.50V, Current: -0.50A, Energy Spent: -0.0005381944Wh
0.599 - FF C0 C1 EE 00 00 00 98  - Voltage: 387.50V, Current: -1.00A, Energy Spent: -0.0010763889Wh
0.609 - FF 80 C1 EE 00 00 01 BF  - Voltage: 387.50V, Current: -2.00A, Energy Spent: -0.0021527777Wh
0.619 - FF 60 C1 AE 00 00 02 19  - Voltage: 387.00V, Current: -2.50A, Energy Spent: -0.0026875001Wh
0.630 - FF 40 C1 AE 00 00 03 CD  - Voltage: 387.00V, Current: -3.00A, Energy Spent: -0.0032250001Wh
0.640 - FF 20 C1 AE 00 00 00 34  - Voltage: 387.00V, Current: -3.50A, Energy Spent: -0.0037625001Wh
0.649 - FF 00 C1 AE 00 00 01 E0  - Voltage: 387.00V, Current: -4.00A, Energy Spent: -0.0043000001Wh
0.659 - FF 00 C1 AE 00 00 02 EA  - Voltage: 387.00V, Current: -4.00A, Energy Spent: -0.0043000001Wh
0.669 - FF 00 C1 AE 00 00 03 6F  - Voltage: 387.00V, Current: -4.00A, Energy Spent: -0.0043000001Wh
0.679 - FF 00 C1 AE 00 00 00 65  - Voltage: 387.00V, Current: -4.00A, Energy Spent: -0.0043000001Wh
0.690 - FF 20 C1 AE 00 00 01 B1  - Voltage: 387.00V, Current: -3.50A, Energy Spent: -0.0037625001Wh
0.699 - FF 60 C1 AA 00 00 02 41  - Voltage: 387.00V, Current: -2.50A, Energy Spent: -0.0026875001Wh
0.709 - FF 80 C1 AA 00 00 03 F6  - Voltage: 387.00V, Current: -2.00A, Energy Spent: -0.0021500001Wh
0.720 - FF A0 C1 AA 00 00 00 AD  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
0.729 - FF A0 C1 AA 00 00 01 28  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
0.740 - FF C0 C1 AA 00 00 02 D1  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
0.750 - FF E0 C1 AA 00 00 03 05  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.759 - FF E0 C1 AA 00 00 00 0F  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.769 - FF E0 C1 AA 00 00 01 8A  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.779 - FF E0 C1 AA 00 00 02 80  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.789 - FF E0 C1 AA 00 00 03 05  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.799 - FF E0 C1 AA 00 00 00 0F  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.809 - FF E0 C1 AA 00 00 01 8A  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.819 - FF E0 C1 AA 00 00 02 80  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.829 - FF E0 C1 AA 00 00 03 05  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
0.840 - FF E0 C1 AA 00 00 00 0F  - Voltage: 387.00V, Current: -0.50A, Energy Spent: -0.0005375000Wh
